Time[ms], Pos[mm]
30187,-0.625
30203,-0.625
30250,-0.625
30281,-0.625
30312,-0.625
30359,-0.41666746
30406,0
30437,0
30469,0
30516,0
30547,-0.52083254
30594,-0.52083254
30625,0
30656,0
30687,0
30734,-0.41666746
30766,0
30797,0
30828,0
30875,0
30906,0
30969,0
31000,0
31031,0
31062,0
31109,0
31141,0
31172,-0.625
31219,0
31250,0
31297,0
31328,0.20833254
31375,0
31422,0
31469,0
31516,0
31562,0
31594,0
31625,0
31672,-0.41666746
31703,-0.10416746
31734,-0.10416746
31781,0
31812,0
31859,0
31906,0
31953,0
31984,-0.52083254
32047,-0.625
32094,-0.41666746
32125,-0.41666746
32172,-0.44642925
32219,0
32250,0
32297,0
32359,0
32391,0
32422,0
32469,-0.52083254
32500,-0.625
32531,-0.20833254
32594,0
32641,-0.3125
32672,0
32734,-0.10416746
32766,0
32797,0
32844,0
32891,0
32922,0
32953,0
32984,0
33031,0
33062,0
33094,0
33156,-0.20833254
33187,0
